site,year,month,day_frac_T4,day_frac_arh,logger,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,arh_sd,arh_cv,arh_med,arh_mean,arh_absmax,arh_absmin,T4_TDD,T4_GDD3,T4_GDD5,T4_FDD,T4_TDD_days,T4_GDD3_days,T4_GDD5_days,T4_FDD_days
37,2019,11,1,1,a,-2.29,4.5,-14.2,-0.99,-3.96,2.34,0.02,97.1,96.6,100,91,9.45,0,0,-78.15,7,0,0,23
37,2019,12,1,1,a,-2.31,1.3,-17,-1.08,-3.88,2.3,0.02,96.2,95.3,97.6,82,1.43,0,0,-73.04,4,0,0,28
37,2020,1,1,1,a,-2.56,3,-17.1,-0.93,-4.39,4.26,0.05,93.9,92.8,97.4,75.2,7.11,0,0,-86.6,10,0,0,21
37,2020,2,1,1,a,-3.85,2.8,-17.3,-1.83,-6.29,3.99,0.04,92.7,92.4,97.5,79.1,5.89,0,0,-117.42,9,0,0,20
37,2020,3,1,1,a,-2.16,6,-12.8,0.57,-5.42,11.66,0.14,84.9,81.5,97.5,37,13.93,0,0,-80.92,10,0,0,21
37,2020,4,1,1,a,0.41,8.5,-10.5,3.37,-2.68,10.15,0.13,75.5,76.1,96.5,38.6,31.97,18.77,0,-19.53,18,5,0,12
37,2020,5,1,1,a,6.83,20.5,-3.3,11.1,1.81,13.64,0.21,64.4,66.1,95.7,29,211.68,204.26,169.14,0,31,27,18,0
37,2020,6,1,1,a,16.88,29.1,6.3,21.34,11.76,10.27,0.16,61.7,64.4,97.3,34.6,506.41,506.41,506.41,0,30,30,30,0
37,2020,7,1,1,a,14.61,25.4,8.6,18.02,11.15,8.43,0.1,84.3,85.3,100,40.1,453.05,453.05,453.05,0,31,31,31,0
37,2020,8,1,1,a,13.94,23.9,5.4,17.21,10.64,6.96,0.08,87.3,87,100,48.5,432.23,432.23,432.23,0,31,31,31,0
37,2020,9,1,1,a,9.69,17,1.9,12.46,6.9,4.51,0.05,97.5,96,100,64.3,290.7,290.7,290.7,0,30,30,30,0
37,2020,10,1,1,a,5.36,12.9,-2.1,6.87,3.6,1.89,0.02,100,98.9,100,80.8,169.32,160.78,149.29,-3.28,28,20,17,3
37,2020,11,1,1,a,1.22,9.2,-5.7,2.59,-0.38,3.4,0.03,99.7,97.8,100,76.7,53.23,33.14,19.53,-16.77,19,6,3,11
37,2020,12,1,1,a,-2.7,2,-8.7,-1.32,-4.16,0.37,0,100,99.7,100,97.7,3.61,0,0,-87.38,4,0,0,27
37,2021,1,1,1,a,-8.72,0.3,-29.2,-6.65,-11.29,3.84,0.04,99.1,97.2,100,84.8,0,0,0,-270.41,0,0,0,31
37,2021,2,1,1,a,-12.46,1.1,-30.7,-9.99,-15.27,2.98,0.03,95.4,95.1,100,84.7,0.38,0,0,-349.34,1,0,0,27
37,2021,3,1,1,a,-4.47,6.4,-31,-1.16,-8.07,6.31,0.07,90,90,100,52.1,15.2,0,0,-153.83,11,0,0,20
37,2021,4,1,1,a,1.67,9.9,-5.1,4.67,-1.33,10.98,0.13,84.4,84.9,100,42.1,51.34,26.89,0,-1.15,29,7,0,1
37,2021,5,0.3548387096774194,0.3548387096774194,a,3.04,12.2,-4.8,6.33,-0.36,17.27,0.24,67.7,73.3,100,35.5,33.49,26.64,14.39,-0.06,10,5,2,1
38,2019,9,0.5333333333333333,0.5333333333333333,a,5,13.6,-1.2,9.7,2.1,8.21,0.09,90.4,89.4,100,40.7,79.93,74.47,55.42,0,16,13,8,0
