site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
1,2021,1,1,1,1,0.45161290322580644,1.17,2.02,0.64,1.2,1.14,-0.66,0.4,-3.16,-0.52,-0.83,-2.84,-0.31,-11,-2.28,-3.51,0.33,0.01,47.1,47.1,47.5,45.8,36.28,0,0,0,31,0,0,0,1.14,0,0,-21.48,4,0,0,27,0,0,0,-87.98,0,0,0,31
1,2021,2,1,1,1,0,0.68,0.83,0.52,0.69,0.67,-0.53,-0.23,-0.85,-0.5,-0.57,-2.09,-0.38,-3.44,-1.91,-2.28,NA,NA,NA,NA,NA,NA,19.09,0,0,0,28,0,0,0,0,0,0,-14.96,0,0,0,28,0,0,0,-58.46,0,0,0,28
1,2021,3,1,1,1,0,0.57,0.64,0.52,0.58,0.56,-0.26,-0.1,-0.48,-0.24,-0.27,-0.83,-0.31,-2.06,-0.74,-0.93,NA,NA,NA,NA,NA,NA,17.75,0,0,0,31,0,0,0,0,0,0,-7.95,0,0,0,31,0,0,0,-25.7,0,0,0,31
1,2021,4,1,1,1,0,0.74,0.89,0.58,0.76,0.73,0.13,0.52,-0.1,0.18,0.1,-0.27,0.38,-1.19,-0.17,-0.34,NA,NA,NA,NA,NA,NA,22.14,0,0,0,30,0,0,0,4.02,0,0,-0.12,28,0,0,2,0,0,0,-8.06,0,0,0,30
1,2021,5,1,1,1,0.7419354838709677,4.13,7.7,0.89,4.43,3.89,6.36,17.4,-0.6,8.99,4.42,7.48,25.81,-2.5,12.06,3.93,0.25,0.01,48.2,48.2,49.1,47.4,128.06,114.56,105.39,0,31,20,18,0,197.12,190.25,186.34,0,31,22,21,0,233.68,228.31,215.47,-1.76,28,23,20,3
1,2021,6,1,1,1,1,9.23,12.14,5.33,9.62,8.88,14.27,26.15,5.4,19.4,11.08,16.86,35.12,4.62,24.96,11.45,0.85,0.02,45.8,45.7,47.5,44.1,276.98,276.98,276.98,0,30,30,30,0,428.21,428.21,428.21,0,30,30,30,0,505.9,505.9,505.9,0,30,30,30,0
1,2021,7,1,1,1,1,11.82,13.33,9.95,12.23,11.44,16.26,28.15,8.52,21.06,13.06,18.12,35.44,6.62,25.86,13.04,2.39,0.06,39.5,39.9,45.8,35.6,366.33,366.33,366.33,0,31,31,31,0,504.01,504.01,504.01,0,31,31,31,0,561.82,561.82,561.82,0,31,31,31,0
1,2021,8,1,1,1,1,11.05,12.27,9.39,11.29,10.84,12.45,17.15,7.02,14.37,10.75,12.73,22.75,4.5,16.52,9.79,1.67,0.04,43,43.3,48,41,342.7,342.7,342.7,0,31,31,31,0,385.84,385.84,385.84,0,31,31,31,0,394.64,394.64,394.64,0,31,31,31,0
1,2021,9,1,1,1,1,7.81,10.02,6.27,8.02,7.65,6.94,12.02,1.46,8.46,5.32,6.08,13.5,-2.38,9.11,3.12,0.5,0.01,44.5,44.6,46.1,43.7,234.4,234.4,234.4,0,30,30,30,0,208.2,208.2,195.12,0,30,30,27,0,182.29,177.79,148.33,0,30,28,21,0
1,2021,10,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,7.14,7.33,6.95,7.25,7.03,7.18,8.9,5.52,8.34,6.21,7.12,10.56,4,9.47,5.25,0.09,0,44.3,44.3,44.4,44.1,28.56,28.56,28.56,0,4,4,4,0,28.74,28.74,28.74,0,4,4,4,0,28.47,28.47,28.47,0,4,4,4,0
