site,hydro_year,days_in_hydro_year,first_day_in_hydro_year,last_day_in_hydro_year,snow_days,max_snow_period,n_snow_period,first_snow_date,last_snow_date,last_snow_doy,T1_ft,T2_ft,T3_ft,deep_snow_days_T2,max_deep_snow_period_T2,n_deep_snow_period_T2,first_deep_snow_date_T2,last_deep_snow_date_T2,last_deep_snow_doy_T2,deep_snow_days_T3,max_deep_snow_period_T3,n_deep_snow_period_T3,first_deep_snow_date_T3,last_deep_snow_date_T3,last_deep_snow_doy_T3
39,2020,352,15,366,186,186,1,2019-10-28,2020-04-30,121,0,74,128,173,173,1,2019-11-10,2020-04-30,121,103,40,5,2019-11-10,2020-04-21,112
39,2021,365,1,365,164,164,1,2020-11-21,2021-05-03,123,112,52,102,158,106,2,2020-11-22,2021-05-03,123,93,84,2,2021-01-24,2021-04-27,117
40,2020,352,15,366,136,59,4,2019-10-28,2020-03-17,77,2,190,272,58,24,4,2019-11-10,2020-01-20,20,14,14,1,2019-12-13,2019-12-26,360
40,2021,365,1,365,139,139,1,2020-11-25,2021-04-12,102,2,78,134,105,79,3,2020-11-25,2021-04-12,102,28,28,1,2021-03-14,2021-04-10,100
41,2020,352,15,366,154,122,3,2019-10-28,2020-04-06,97,36,144,274,40,16,3,2019-11-23,2020-01-20,20,0,0,0,NA,NA,0
41,2021,365,1,365,142,142,1,2020-11-24,2021-04-14,104,56,80,144,94,81,2,2020-11-24,2021-04-14,104,13,13,1,2021-03-21,2021-04-02,92
43,2020,352,15,366,187,187,1,2019-10-28,2020-05-01,122,0,126,112,168,156,2,2019-11-10,2020-04-28,119,73,22,5,2019-12-12,2020-04-22,113
43,2021,365,1,365,155,155,1,2020-11-24,2021-04-27,117,20,70,94,130,100,3,2020-11-26,2021-04-27,117,77,60,2,2021-02-05,2021-04-23,113
44,2020,352,15,366,109,46,4,2019-10-28,2020-03-10,70,100,238,328,45,23,3,2019-11-10,2020-01-03,3,14,14,1,2019-12-12,2019-12-25,359
44,2021,365,1,365,138,110,2,2020-11-24,2021-04-11,101,60,70,136,89,79,2,2020-11-26,2021-04-11,101,35,25,2,2021-02-26,2021-04-07,97
46,2020,352,15,366,98,59,4,2019-11-23,2020-04-06,97,24,196,278,15,15,1,2019-12-12,2019-12-26,360,0,0,0,NA,NA,0
46,2021,365,1,365,129,86,3,2020-11-24,2021-04-12,102,4,108,146,65,30,4,2021-01-24,2021-04-12,102,14,14,1,2021-03-24,2021-04-06,96
47,2020,352,15,366,158,136,2,2019-10-28,2020-04-06,97,20,146,200,111,63,4,2019-11-10,2020-03-13,73,24,14,2,2019-12-12,2020-02-18,49
47,2021,365,1,365,143,93,2,2020-11-24,2021-04-18,108,8,68,102,98,86,2,2020-11-25,2021-04-18,108,50,50,1,2021-02-27,2021-04-17,107
48,2020,352,15,366,189,189,1,2019-10-28,2020-05-03,124,166,24,148,176,176,1,2019-11-10,2020-05-03,124,91,27,5,2019-12-12,2020-04-23,114
48,2021,365,1,365,168,168,1,2020-11-21,2021-05-07,127,30,38,94,168,168,1,2020-11-21,2021-05-07,127,92,92,1,2021-01-24,2021-04-25,115
49,2020,352,15,366,151,130,2,2019-11-23,2020-05-03,124,0,14,110,149,130,2,2019-11-25,2020-05-03,124,169,157,2,2019-11-09,2020-05-03,124
49,2021,365,1,365,128,111,2,2020-12-08,2021-04-25,115,0,68,96,123,106,2,2020-12-08,2021-04-25,115,124,98,2,2020-12-16,2021-04-25,115
50,2020,352,15,366,188,188,1,2019-10-28,2020-05-02,123,0,118,182,170,96,3,2019-11-10,2020-05-02,123,81,25,5,2019-12-12,2020-04-27,118
50,2021,365,1,365,168,168,1,2020-11-24,2021-05-10,130,72,140,70,135,113,3,2020-11-25,2021-05-10,130,87,74,2,2021-02-04,2021-05-10,130
51,2020,352,15,366,174,174,1,2019-10-28,2020-04-18,109,6,106,170,130,60,3,2019-11-09,2020-03-28,88,68,48,3,2019-11-10,2020-02-18,49
51,2021,365,1,365,147,147,1,2020-11-24,2021-04-19,109,0,52,106,140,92,3,2020-11-24,2021-04-19,109,85,53,2,2021-01-24,2021-04-19,109
52,2020,352,15,366,186,186,1,2019-10-28,2020-04-30,121,0,146,144,170,158,2,2019-11-10,2020-04-30,121,92,27,6,2019-12-12,2020-04-22,113
52,2021,365,1,365,152,152,1,2020-12-08,2021-05-08,128,0,38,92,139,111,2,2020-12-16,2021-05-08,128,99,68,3,2021-01-24,2021-05-04,124
53,2020,352,15,366,173,151,2,2019-10-28,2020-04-21,112,0,88,166,159,149,2,2019-11-09,2020-04-21,112,111,28,6,2019-12-12,2020-04-20,111
53,2021,365,1,365,147,147,1,2020-11-24,2021-04-19,109,16,36,120,146,133,2,2020-11-24,2021-04-19,109,85,85,1,2021-01-24,2021-04-18,108
101,2021,365,1,365,145,145,1,2020-11-24,2021-04-17,107,30,96,246,128,89,3,2020-11-24,2021-04-16,106,48,39,2,2021-02-08,2021-04-13,103
102,2021,365,1,365,137,137,1,2020-12-08,2021-04-23,113,8,62,146,123,96,2,2020-12-16,2021-04-23,113,105,86,2,2020-12-20,2021-04-19,109
103,2021,365,1,365,133,88,2,2020-11-24,2021-04-14,104,36,134,176,39,28,2,2020-11-25,2021-04-10,100,15,15,1,2021-03-24,2021-04-07,97
104,2021,365,1,365,146,146,1,2020-11-20,2021-04-14,104,20,90,200,121,86,3,2020-11-22,2021-04-13,103,43,43,1,2021-02-27,2021-04-10,100
105,2021,365,1,365,145,145,1,2020-11-24,2021-04-17,107,10,98,178,96,84,2,2020-11-24,2021-04-16,106,21,21,1,2021-03-24,2021-04-13,103
106,2021,365,1,365,142,142,1,2020-11-20,2021-04-10,100,112,140,188,53,24,4,2020-11-26,2021-04-06,96,0,0,0,NA,NA,0
107,2021,365,1,365,148,148,1,2020-11-21,2021-04-17,107,0,72,168,137,123,2,2020-11-22,2021-04-17,107,101,85,2,2020-12-24,2021-04-14,104
108,2021,365,1,365,143,143,1,2020-11-24,2021-04-15,105,22,80,164,115,83,3,2020-11-24,2021-04-15,105,49,49,1,2021-02-23,2021-04-12,102
109,2021,365,1,365,125,112,2,2020-11-24,2021-04-14,104,26,120,184,81,81,1,2021-01-23,2021-04-13,103,47,24,2,2021-02-03,2021-04-07,97
110,2021,365,1,365,135,124,2,2020-11-25,2021-04-10,100,14,74,208,115,78,3,2020-11-25,2021-04-10,100,36,36,1,2021-02-28,2021-04-04,94
111,2021,365,1,365,152,152,1,2020-12-08,2021-05-08,128,56,94,82,152,152,1,2020-12-08,2021-05-08,128,120,98,2,2020-12-19,2021-04-30,120
112,2021,365,1,365,135,135,1,2020-12-08,2021-04-21,111,20,42,138,128,93,2,2020-12-08,2021-04-21,111,103,84,2,2020-12-20,2021-04-18,108
113,2021,365,1,365,139,139,1,2020-11-24,2021-04-11,101,2,138,239,93,74,3,2020-11-26,2021-04-07,97,50,33,2,2021-01-24,2021-03-31,90
114,2021,365,1,365,145,145,1,2020-11-20,2021-04-13,103,2,64,218,132,88,3,2020-11-20,2021-04-13,103,48,16,4,2021-01-24,2021-03-30,89
115,2021,365,1,365,124,124,1,2020-12-08,2021-04-10,100,120,100,243,84,75,2,2020-12-16,2021-04-07,97,40,22,3,2021-01-24,2021-04-04,94
117,2021,365,1,365,139,139,1,2020-11-22,2021-04-09,99,6,100,212,108,73,3,2020-11-22,2021-04-06,96,46,21,3,2021-01-25,2021-04-04,94
118,2021,365,1,365,142,142,1,2020-11-25,2021-04-15,105,28,76,180,109,51,4,2020-11-25,2021-04-15,105,45,45,1,2021-02-27,2021-04-12,102
119,2021,365,1,365,113,99,2,2020-12-08,2021-04-01,91,44,86,230,69,69,1,2021-01-23,2021-04-01,91,47,25,2,2021-02-04,2021-03-29,88
120,2021,365,1,365,145,145,1,2020-11-24,2021-04-17,107,10,126,206,132,90,3,2020-11-24,2021-04-17,107,82,82,1,2021-01-24,2021-04-15,105
